id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
264_i130,9.728391779449522,9.7166759863005723,9.2499997760169261,8.3788497820725532,8.2451278314387704,0,0,7.9796252734979332,0,0,0,0,0,0,0,0,0,0,0,0,53.2986704288
264_i140,8.9903067553700282,8.9738175648570202,0,8.2577764351605616,0,7.9796252734979332,7.9796252734979332,0,0,0,0,0,0,0,0,0,0,7.4000003308057929,0,0,49.5811516332
264_i190,0,9.900450034779773,0,9.398009425616598,0,0,9.2500004135072409,0,8.9738187648387768,0,8.4851772722114589,8.2734513814931319,0,8.1719332751753626,0,0,0,0,0,0,62.4528405676
264_i250,10.482623402528775,9.7398651475354754,8.9856794418742165,8.8525502398315314,8.8525502398315314,8.7360693232048234,8.2806413749725074,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9299791698
264_l,7.4166159765741044,0,0,0,0,0,0,0,0,0,0,6.9413015155483233,0,0,0,0,0,0,0,6.6478369844718719,21.0057544766
262_i250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260_i180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254_i120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255_i250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255_i180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conclusion,36.6179379139,38.3308087335,18.2356792179,34.8871858827,17.0976780713,16.7156945967,25.510267062,7.9796252735,8.97381876484,0,8.48517727221,15.214752897,0,8.17193327518,0,0,0,7.40000033081,0,6.64783698447,250.268396276
